DATE_ mentioned_keyword
2015-10-23-00 175
2015-10-24-00 148
2015-10-25-00 155
2015-10-26-00 153
2015-10-27-00 171
2015-10-28-00 153
2015-10-29-00 144
2015-10-30-00 153
2015-10-31-00 152
2015-11-01-00 145
2015-11-02-00 152
2015-11-03-00 155
2015-11-04-00 158
2015-11-05-00 203
2015-11-06-00 180
2015-11-07-00 157
2015-11-08-00 142
2015-11-09-00 157
2015-11-10-00 155
2015-11-11-00 175
2015-11-12-00 153
2015-11-13-00 175
2015-11-14-00 145
2015-11-15-00 153
2015-11-16-00 188
2015-11-17-00 157
2015-11-18-00 182
2015-11-19-00 180
2015-11-20-00 183
2015-11-21-00 172
2015-11-22-00 153
2015-11-23-00 152
2015-11-24-00 152
2015-11-25-00 178
2015-11-26-00 170
2015-11-27-00 155
2015-11-28-00 151
2015-11-29-00 145
2015-11-30-00 155
2015-12-01-00 153
2015-12-02-00 175
2015-12-03-00 174
2015-12-04-00 170
2015-12-05-00 155
2015-12-06-00 153
2015-12-07-00 171
2015-12-08-00 185
2015-12-09-00 173
2015-12-10-00 172
2015-12-11-00 182
2015-12-12-00 157
2015-12-13-00 155
2015-12-14-00 135
2015-12-15-00 155
2015-12-16-00 158
2015-12-17-00 154
2015-12-18-00 177
2015-12-19-00 155
2015-12-20-00 152
2015-12-21-00 153
2015-12-22-00 131
2015-12-23-00 175
2015-12-24-00 172
2015-12-25-00 177
2015-12-26-00 169
2015-12-27-00 147
2015-12-28-00 149
2015-12-29-00 174
2015-12-30-00 173
2015-12-31-00 165
2016-01-01-00 150
2016-01-02-00 145
2016-01-03-00 151
2016-01-04-00 153
2016-01-05-00 153
2016-01-06-00 118
2016-01-07-00 158
2016-01-08-00 170
2016-01-09-00 151
2016-01-10-00 103
2016-01-11-00 172
2016-01-12-00 132
2016-01-13-00 182
2016-01-14-00 134
2016-01-15-00 135
2016-01-16-00 155
2016-01-17-00 153
2016-01-18-00 152
2016-01-19-00 202
2016-01-20-00 188
2016-01-21-00 171
2016-01-22-00 145
2016-01-23-00 145
2016-01-24-00 151
2016-01-25-00 155
2016-01-26-00 175
2016-01-27-00 155
2016-01-28-00 172
2016-01-29-00 150
2016-01-30-00 154
2016-01-31-00 133
2016-02-01-00 157
2016-02-02-00 152
2016-02-03-00 157
2016-02-04-00 141
2016-02-05-00 141
2016-02-06-00 153
2016-02-07-00 87
2016-02-08-00 142
2016-02-09-00 133
2016-02-10-00 75
2016-02-11-00 131
2016-02-12-00 32
2016-02-13-00 145
2016-02-14-00 155
2016-02-15-00 145
2016-02-16-00 153
2016-02-17-00 157
2016-02-18-00 157
2016-02-19-00 171
2016-02-20-00 135
2016-02-21-00 35
2016-02-22-00 153
2016-02-23-00 151
2016-02-24-00 155
2016-02-25-00 35
2016-02-26-00 157
2016-02-27-00 153
2016-02-28-00 151
2016-02-29-00 184
2016-03-01-00 145
2016-03-02-00 144
2016-03-03-00 155
2016-03-04-00 181
2016-03-05-00 158
2016-03-06-00 148
2016-03-07-00 171
2016-03-08-00 171
2016-03-09-00 103
2016-03-10-00 153
2016-03-11-00 151
2016-03-12-00 153
2016-03-13-00 145
