DATE_ mentioned_keyword
2017-06-22-00 207
2017-06-23-00 211
2017-06-24-00 172
2017-06-25-00 185
2017-06-26-00 134
2017-06-27-00 211
2017-06-28-00 211
2017-06-29-00 183
2017-06-30-00 183
2017-07-01-00 105
2017-07-02-00 135
2017-07-03-00 215
2017-07-04-00 138
2017-07-05-00 204
2017-07-06-00 134
2017-07-07-00 178
2017-07-08-00 204
2017-07-09-00 132
2017-07-10-00 202
2017-07-11-00 218
2017-07-12-00 211
2017-07-13-00 135
2017-07-14-00 188
2017-07-15-00 175
2017-07-16-00 155
2017-07-17-00 184
2017-07-18-00 182
2017-07-19-00 175
2017-07-20-00 175
2017-07-21-00 155
2017-07-22-00 157
2017-07-23-00 153
2017-07-24-00 154
2017-07-25-00 188
2017-07-26-00 130
2017-07-27-00 184
2017-07-28-00 177
2017-07-29-00 153
2017-07-30-00 158
2017-07-31-00 177
2017-08-01-00 183
2017-08-02-00 183
2017-08-03-00 133
2017-08-04-00 155
2017-08-05-00 155
2017-08-06-00 133
2017-08-07-00 178
2017-08-08-00 155
2017-08-09-00 182
2017-08-10-00 158
2017-08-11-00 125
2017-08-12-00 155
2017-08-13-00 154
2017-08-14-00 174
2017-08-15-00 153
2017-08-16-00 173
2017-08-17-00 153
2017-08-18-00 134
2017-08-19-00 150
2017-08-20-00 172
2017-08-21-00 208
2017-08-22-00 153
2017-08-23-00 185
2017-08-24-00 210
2017-08-25-00 138
2017-08-26-00 196
2017-08-27-00 194
2017-08-28-00 190
2017-08-29-00 196
2017-08-30-00 197
2017-08-31-00 202
2017-09-01-00 197
2017-09-02-00 187
2017-09-03-00 172
2017-09-04-00 205
2017-09-05-00 203
2017-09-06-00 215
2017-09-07-00 203
2017-09-08-00 203
2017-09-09-00 180
2017-09-10-00 134
2017-09-11-00 205
2017-09-12-00 135
2017-09-13-00 205
2017-09-14-00 215
2017-09-15-00 223
2017-09-16-00 181
2017-09-17-00 173
2017-09-18-00 138
2017-09-19-00 183
2017-09-20-00 130
2017-09-21-00 135
2017-09-22-00 135
2017-09-23-00 181
2017-09-24-00 135
2017-09-25-00 215
2017-09-26-00 135
2017-09-27-00 138
2017-09-28-00 203
2017-09-29-00 185
2017-09-30-00 205
2017-10-01-00 201
2017-10-02-00 135
2017-10-03-00 151
2017-10-04-00 32
2017-10-05-00 177
2017-10-06-00 103
2017-10-07-00 153
2017-10-08-00 183
2017-10-09-00 207
2017-10-10-00 217
2017-10-11-00 184
2017-10-12-00 175
2017-10-13-00 187
2017-10-14-00 138
2017-10-15-00 183
2017-10-16-00 201
2017-10-17-00 220
2017-10-18-00 202
2017-10-19-00 131
2017-10-20-00 223
2017-10-21-00 187
2017-10-22-00 153
2017-10-23-00 134
2017-10-24-00 187
2017-10-25-00 178
2017-10-26-00 184
2017-10-27-00 200
2017-10-28-00 135
2017-10-29-00 132
2017-10-30-00 184
2017-10-31-00 214
2017-11-01-00 135
2017-11-02-00 213
2017-11-03-00 132
2017-11-04-00 183
2017-11-05-00 207
2017-11-06-00 215
2017-11-07-00 203
2017-11-08-00 202
2017-11-09-00 203
2017-11-10-00 181
2017-11-11-00 185
2017-11-12-00 183
2017-11-13-00 215
2017-11-14-00 130
2017-11-15-00 215
2017-11-16-00 214
2017-11-17-00 133
2017-11-18-00 175
2017-11-19-00 173
2017-11-20-00 134
2017-11-21-00 133
2017-11-22-00 133
2017-11-23-00 184
2017-11-24-00 153
2017-11-25-00 183
2017-11-26-00 185
2017-11-27-00 182
2017-11-28-00 200
2017-11-29-00 132
2017-11-30-00 187
2017-12-01-00 134
2017-12-02-00 133
2017-12-03-00 137
2017-12-04-00 130
2017-12-05-00 223
2017-12-06-00 185
2017-12-07-00 214
2017-12-08-00 188
2017-12-09-00 185
2017-12-10-00 185
2017-12-11-00 132
2017-12-12-00 135
2017-12-13-00 214
2017-12-14-00 217
2017-12-15-00 212
2017-12-16-00 187
2017-12-17-00 153
2017-12-18-00 204
2017-12-19-00 138
2017-12-20-00 210
2017-12-21-00 203
2017-12-22-00 130
2017-12-23-00 178
2017-12-24-00 153
2017-12-25-00 135
2017-12-26-00 195
2017-12-27-00 219
2017-12-28-00 204
2017-12-29-00 202
2017-12-30-00 191
2017-12-31-00 170
2018-01-01-00 172
2018-01-02-00 183
2018-01-03-00 188
2018-01-04-00 181
2018-01-05-00 183
2018-01-06-00 175
2018-01-07-00 155
2018-01-08-00 205
2018-01-09-00 187
2018-01-10-00 138
2018-01-11-00 187
2018-01-12-00 113
2018-01-13-00 178
2018-01-14-00 133
2018-01-15-00 182
2018-01-16-00 201
2018-01-17-00 138
2018-01-18-00 185
2018-01-19-00 185
2018-01-20-00 181
2018-01-21-00 172
2018-01-22-00 173
2018-01-23-00 175
2018-01-24-00 35
2018-01-25-00 135
2018-01-26-00 182
2018-01-27-00 185
2018-01-28-00 137
2018-01-29-00 212
2018-01-30-00 181
2018-01-31-00 173
2018-02-01-00 173
2018-02-02-00 155
2018-02-03-00 175
2018-02-04-00 175
2018-02-05-00 175
2018-02-06-00 152
2018-02-07-00 155
2018-02-08-00 155
2018-02-09-00 113
2018-02-10-00 157
2018-02-11-00 153
2018-02-12-00 157
2018-02-13-00 158
2018-02-14-00 150
2018-02-15-00 82
2018-02-16-00 57
2018-02-17-00 78
2018-02-18-00 35
2018-02-19-00 145
2018-02-20-00 145
2018-02-21-00 153
2018-02-22-00 151
2018-02-23-00 155
2018-02-24-00 158
2018-02-25-00 153
2018-02-26-00 155
2018-02-27-00 153
2018-02-28-00 153
2018-03-01-00 175
2018-03-02-00 153
2018-03-03-00 155
2018-03-04-00 152
2018-03-05-00 154
2018-03-06-00 172
2018-03-07-00 175
2018-03-08-00 158
2018-03-09-00 183
2018-03-10-00 155
2018-03-11-00 115
2018-03-12-00 137
2018-03-13-00 215
2018-03-14-00 204
2018-03-15-00 173
2018-03-16-00 214
2018-03-17-00 177
2018-03-18-00 135
2018-03-19-00 137
2018-03-20-00 204
2018-03-21-00 175
2018-03-22-00 175
2018-03-23-00 205
2018-03-24-00 175
2018-03-25-00 188
2018-03-26-00 207
2018-03-27-00 210
2018-03-28-00 214
2018-03-29-00 222
2018-03-30-00 134
2018-03-31-00 175
2018-04-01-00 135
2018-04-02-00 223
2018-04-03-00 212
2018-04-04-00 224
2018-04-05-00 115
2018-04-06-00 141
2018-04-07-00 187
2018-04-08-00 125
2018-04-09-00 132
2018-04-10-00 212
2018-04-11-00 215
2018-04-12-00 223
2018-04-13-00 225
2018-04-14-00 200
2018-04-15-00 187
2018-04-16-00 185
2018-04-17-00 183
2018-04-18-00 134
2018-04-19-00 237
2018-04-20-00 228
2018-04-21-00 255
2018-04-22-00 227
2018-04-23-00 235
2018-04-24-00 238
2018-04-25-00 202
2018-04-26-00 186
2018-04-27-00 203
2018-04-28-00 181
2018-04-29-00 180
2018-04-30-00 170
2018-05-01-00 181
2018-05-02-00 155
2018-05-03-00 150
2018-05-04-00 214
2018-05-05-00 112
2018-05-06-00 174
2018-05-07-00 175
2018-05-08-00 185
2018-05-09-00 131
2018-05-10-00 205
2018-05-11-00 135
2018-05-12-00 135
2018-05-13-00 134
2018-05-14-00 130
2018-05-15-00 223
2018-05-16-00 221
2018-05-17-00 137
2018-05-18-00 131
2018-05-19-00 177
2018-05-20-00 115
2018-05-21-00 137
2018-05-22-00 202
2018-05-23-00 207
2018-05-24-00 207
2018-05-25-00 203
